 start_time :2020-01-19 23:29:27 
 batch_size :5 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030 21.00 k 15.91  | 2.437    37.466    37.601    0.3753    0.8000 | 0.264    97.700    0.985 | 0.174     100.000    1.000 |  8 hr 16 min 
0.00030 21.20 k 16.06  | 2.440    37.466    37.601    0.3753    0.8000 | 0.271    97.200    0.983 | 0.168     100.000    1.000 |  8 hr 20 min 
0.00030 21.40 k 16.22  | 2.443    37.466    37.601    0.3753    0.6000 | 0.282    97.300    0.982 | 0.321     95.000    0.967 |  8 hr 25 min 
0.00030 21.60 k 16.37  | 2.436    37.466    37.736    0.3756    0.6000 | 0.287    97.400    0.983 | 0.455     95.000    0.975 |  8 hr 30 min 
0.00030 21.80 k 16.52  | 2.443    37.466    37.601    0.3753    0.8000 | 0.282    98.000    0.987 | 0.259     100.000    1.000 |  8 hr 35 min 
0.00030 22.00 k 16.67  | 2.457    37.466    37.601    0.3753    0.8000 | 0.272    97.200    0.981 | 0.200     100.000    1.000 |  8 hr 39 min 
0.00030 22.20 k 16.82  | 2.459    37.466    37.601    0.3753    0.6000 | 0.277    97.700    0.985 | 0.172     100.000    1.000 |  8 hr 44 min 
0.00030 22.40 k 16.97  | 2.464    37.601    37.601    0.3760    0.9000 | 0.275    97.000    0.981 | 0.231     95.000    0.975 |  8 hr 49 min 
0.00030 22.60 k 17.13  | 2.469    37.466    37.601    0.3753    0.9000 | 0.291    96.300    0.976 | 0.240     95.000    0.960 |  8 hr 54 min 
0.00030 22.80 k 17.28  | 2.469    37.466    37.601    0.3753    0.8000 | 0.252    97.500    0.985 | 0.131     100.000    1.000 |  8 hr 58 min 
0.00030 23.00 k 17.43  | 2.474    37.466    37.601    0.3753    0.8000 | 0.266    97.400    0.985 | 0.199     95.000    0.975 |  9 hr 03 min 
0.00030 23.20 k 17.58  | 2.475    37.466    37.601    0.3753    0.8000 | 0.266    98.000    0.988 | 0.360     95.000    0.967 |  9 hr 08 min 
