 start_time :2020-01-05 19:03:49 
 batch_size :5 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030 31.00 k 25.18  | 2.912    34.367    34.906    0.3460    0.6000 | 0.178    98.600    0.992 | 0.117     100.000    1.000 | 13 hr 01 min 
0.00030 31.20 k 25.35  | 2.911    34.501    34.906    0.3470    0.6000 | 0.179    98.100    0.989 | 0.330     95.000    0.967 | 13 hr 07 min 
0.00030 31.40 k 25.51  | 2.914    34.501    34.906    0.3468    0.5000 | 0.194    98.100    0.989 | 0.113     100.000    1.000 | 13 hr 12 min 
0.00030 31.60 k 25.67  | 2.902    34.367    34.906    0.3464    0.7000 | 0.175    97.800    0.988 | 0.123     100.000    1.000 | 13 hr 17 min 
0.00030 31.80 k 25.83  | 2.915    34.367    34.906    0.3460    0.7000 | 0.193    97.700    0.987 | 0.214     95.000    0.975 | 13 hr 22 min 
0.00030 32.00 k 26.00  | 2.908    34.367    34.906    0.3461    0.7000 | 0.187    98.200    0.990 | 0.194     100.000    1.000 | 13 hr 27 min 
0.00030 32.20 k 26.16  | 2.920    34.501    34.906    0.3470    0.7000 | 0.189    98.300    0.989 | 0.149     100.000    1.000 | 13 hr 32 min 
0.00030 32.40 k 26.32  | 2.923    34.367    34.906    0.3464    0.6000 | 0.177    98.200    0.990 | 0.112     100.000    1.000 | 13 hr 37 min 
0.00030 32.60 k 26.48  | 2.932    34.367    34.771    0.3457    0.7000 | 0.189    98.200    0.989 | 0.122     100.000    1.000 | 13 hr 42 min 
0.00030 32.80 k 26.65  | 2.928    34.367    34.906    0.3460    0.8000 | 0.181    97.900    0.988 | 0.161     95.000    0.975 | 13 hr 47 min 
0.00030 33.00 k 26.81  | 2.917    34.501    34.771    0.3464    0.7000 | 0.181    97.800    0.987 | 0.216     100.000    1.000 | 13 hr 52 min 
0.00030 33.20 k 26.97  | 2.925    34.367    34.906    0.3461    0.8000 | 0.182    98.000    0.989 | 0.096     100.000    1.000 | 13 hr 57 min 
0.00030 33.40 k 27.13  | 2.923    34.501    34.906    0.3468    0.7000 | 0.173    97.600    0.986 | 0.152     100.000    1.000 | 14 hr 02 min 
0.00030 33.60 k 27.30  | 2.935    34.501    34.906    0.3466    0.6000 | 0.193    98.600    0.991 | 0.134     95.000    0.975 | 14 hr 07 min 
0.00030 33.80 k 27.46  | 2.939    34.367    34.906    0.3464    0.7000 | 0.158    98.200    0.990 | 0.264     95.000    0.975 | 14 hr 12 min 
0.00030 34.00 k 27.62  | 2.933    34.501    34.906    0.3470    0.6000 | 0.176    97.400    0.986 | 0.270     95.000    0.975 | 14 hr 17 min 
