 start_time :2020-01-17 13:23:38 
 batch_size :5 
  start from22600, l_rate =0.0003 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030 46.80 k 36.70  | 1.468    59.030    75.472    0.6527    0.3000 | 1.459    31.800    0.494 | 1.573     25.000    0.392 |  7 hr 23 min 
0.00030 47.00 k 36.85  | 1.482    49.057    80.863    0.6376    0.4000 | 1.464    32.100    0.486 | 1.553     25.000    0.417 |  7 hr 26 min 
0.00030 47.20 k 37.00  | 1.483    59.434    74.394    0.6516    0.3000 | 1.523    30.500    0.451 | 1.522     30.000    0.442 |  7 hr 30 min 
0.00030 47.40 k 37.15  | 1.468    49.865    82.884    0.6510    0.4000 | 1.535    30.400    0.439 | 1.793     30.000    0.325 |  7 hr 34 min 
0.00030 47.60 k 37.30  | 1.449    50.135    86.792    0.6711    0.4000 | 1.583    28.400    0.417 | 1.699     25.000    0.367 |  7 hr 37 min 
0.00030 47.80 k 37.46  | 1.456    61.186    76.954    0.6728    0.3000 | 1.465    32.800    0.493 | 1.420     35.000    0.500 |  7 hr 41 min 
0.00030 48.00 k 37.61  | 1.450    52.156    80.863    0.6526    0.4000 | 1.473    32.700    0.481 | 1.411     25.000    0.500 |  7 hr 45 min 
0.00030 48.20 k 37.76  | 1.453    52.291    80.323    0.6511    0.4000 | 1.489    32.600    0.478 | 1.449     30.000    0.467 |  7 hr 48 min 
0.00030 48.40 k 37.91  | 1.447    62.129    73.585    0.6678    0.3000 | 1.557    30.300    0.426 | 1.619     25.000    0.385 |  7 hr 52 min 
0.00030 48.60 k 38.06  | 1.449    61.590    76.550    0.6776    0.3000 | 1.562    28.500    0.408 | 1.645     25.000    0.400 |  7 hr 55 min 
0.00030 48.80 k 38.21  | 1.456    50.000    79.380    0.6314    0.4000 | 1.442    32.700    0.506 | 1.434     35.000    0.550 |  7 hr 59 min 
0.00030 49.00 k 38.37  | 1.453    51.348    79.380    0.6371    0.4000 | 1.477    32.000    0.483 | 1.535     35.000    0.500 |  8 hr 03 min 
0.00030 49.20 k 38.52  | 1.443    51.752    80.863    0.6499    0.4000 | 1.517    30.900    0.456 | 1.615     40.000    0.450 |  8 hr 07 min 
0.00030 49.40 k 38.67  | 1.425    64.151    76.550    0.6897    0.3000 | 1.528    30.100    0.440 | 1.576     25.000    0.385 |  8 hr 10 min 
0.00030 49.60 k 38.82  | 1.428    65.768    80.997    0.7165    0.3000 | 1.532    30.000    0.433 | 1.434     35.000    0.483 |  8 hr 14 min 
