 start_time :2020-01-22 00:24:19 
 batch_size :5 
  start from70000, l_rate =3e-05 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00003 100.80 k 76.38  | 1.458    67.385    73.854    0.7039    0.3000 | 1.483    25.000    0.501 | 1.507     25.000    0.479 |  9 hr 14 min 
0.00003 101.00 k 76.54  | 1.440    69.137    74.259    0.7144    0.3000 | 1.478    25.000    0.466 | 1.511     25.000    0.400 |  9 hr 17 min 
0.00003 101.20 k 76.69  | 1.465    67.655    76.146    0.7134    0.3000 | 1.459    25.000    0.535 | 1.425     25.000    0.567 |  9 hr 21 min 
0.00003 101.40 k 76.84  | 1.464    66.712    74.798    0.7026    0.3000 | 1.477    25.000    0.527 | 1.433     25.000    0.550 |  9 hr 25 min 
0.00003 101.60 k 76.99  | 1.460    65.364    73.720    0.6898    0.3000 | 1.484    25.000    0.510 | 1.451     25.000    0.514 |  9 hr 29 min 
0.00003 101.80 k 77.14  | 1.457    66.846    73.989    0.6995    0.3000 | 1.479    25.000    0.496 | 1.511     25.000    0.500 |  9 hr 32 min 
0.00003 102.00 k 77.29  | 1.450    67.251    74.124    0.7008    0.3000 | 1.502    25.000    0.497 | 1.461     25.000    0.512 |  9 hr 36 min 
0.00003 102.20 k 77.44  | 1.466    66.307    73.720    0.6950    0.3000 | 1.493    25.000    0.528 | 1.431     25.000    0.525 |  9 hr 40 min 
0.00003 102.40 k 77.60  | 1.463    66.307    73.585    0.6934    0.3000 | 1.481    25.000    0.524 | 1.453     25.000    0.517 |  9 hr 43 min 
0.00003 102.60 k 77.75  | 1.442    62.938    70.485    0.6603    0.3000 | 1.471    25.000    0.498 | 1.426     25.000    0.510 |  9 hr 47 min 
0.00003 102.80 k 77.90  | 1.451    66.577    72.372    0.6916    0.3000 | 1.481    25.000    0.488 | 1.389     25.000    0.550 |  9 hr 50 min 
0.00003 103.00 k 78.05  | 1.465    66.577    73.315    0.6944    0.3000 | 1.490    25.000    0.490 | 1.417     25.000    0.475 |  9 hr 54 min 
0.00003 103.20 k 78.20  | 1.456    66.173    73.720    0.6925    0.3000 | 1.467    25.000    0.532 | 1.400     25.000    0.585 |  9 hr 58 min 
0.00003 103.40 k 78.35  | 1.455    64.286    71.968    0.6765    0.3000 | 1.479    25.000    0.509 | 1.594     25.000    0.447 | 10 hr 01 min 
